ID_REF,Label,Nb_Anchor_Neighbors,Nb_Edges,Nb_Positives,Nb_Negatives,Pearson_Mean,Pearson_Std,Pearson_Max,Pearson_Min
AT1G77220,Candidate,"[1, 2]",3,3,0,0.8963608580539598,0.03714377869718821,0.9234046217771741,0.8438394046995689
AT1G77230,Candidate,"[3, 1]",4,4,0,0.8758967789854687,0.0436595490590605,0.9507558644874228,0.8444447135533842
AT1G77260,Candidate,"[1, 1]",2,2,0,0.8857217482466638,0.00025091665904730664,0.8859726649057111,0.8854708315876165
AT1G77280,Candidate,"[1, 0]",1,1,0,0.8622218999387753,0.0,0.8622218999387753,0.8622218999387753
AT1G77290,Candidate,"[3, 0]",3,3,0,0.8862847633866182,0.032999842327039966,0.9234159255255628,0.8432356778892091
AT1G77300,Candidate,"[2, 4]",6,6,0,0.8718319599436968,0.02477322101180955,0.9247995224093497,0.8490785220910494
AT1G77310,Candidate,"[0, 3]",3,3,0,0.8925021180590207,0.01655329721730355,0.9159085386548309,0.8804495092556717
AT1G77320,Candidate,"[2, 2]",4,4,0,0.8590722291541006,0.007703942591822196,0.8722577048549252,0.8528466851979138
AT1G77350,Candidate,"[8, 12]",20,19,1,0.8954722691329253,0.03891100575592708,0.9822021641149937,0.8416119298495278
AT1G77360,Candidate,"[1, 0]",1,1,0,0.8423329083308326,0.0,0.8423329083308326,0.8423329083308326
AT1G77370,Candidate,"[9, 4]",13,13,0,0.9030317884214688,0.029960457207842385,0.9719114084570454,0.858296050474689
AT1G77390,Candidate,"[1, 0]",1,1,0,0.8493097081963621,0.0,0.8493097081963621,0.8493097081963621
AT1G77400,Candidate,"[5, 8]",13,12,1,0.8646271195072633,0.01768557435286354,0.8977482016090946,0.8442131490996801
AT1G77410,Candidate,"[1, 4]",5,3,2,0.8565005638581153,0.012137271274333119,0.8722144784017252,0.8403346757485048
AT1G77420,Candidate,"[1, 0]",1,1,0,0.8599552834801066,0.0,0.8599552834801066,0.8599552834801066
AT1G77440,Candidate,"[6, 6]",12,12,0,0.8989208946508754,0.032927673340510014,0.952951525062275,0.8413746857624347
AT1G77450,Candidate,"[9, 5]",14,13,1,0.9123575843883419,0.04267913478914082,0.9854138939679721,0.8571098361283749
AT1G77460,Candidate,"[2, 2]",4,4,0,0.8712439342597637,0.023406974298671317,0.9007533065579703,0.8407912673498479
